Name,Author,CatID,PubID,TitleID,PlaceID,Pages,Press,Parts,Notes
الكتاب السنوي 1979,وزارة الاعلام,45,1088,NULL,31,565,,NULL,
واقع التنمية وخططها المستقبلية في دول مجلس التعاون ودور التربية في تلبية احتياجاتها,,68,1089,NULL,31,NULL,,NULL,
اعداد الفرد للحياة المعاصرة مسؤولية مشتركة بين البيت والمدرسة والمجتمع,المركز العربي للبحوث التربوية لدول الخليج,68,1089,NULL,31,198,,NULL,
تأثير الاحتلال العراقي على النمو النفسي - الاجتماعي لاطفال الكويت,د. منى مقصود - د. فاطمة نذر,45,1090,NULL,31,112,,NULL,
الاطفال وحروب شتى في العالم العربي,الجمعية الكويتية لتقدم الطفولة العربية,45,1090,NULL,31,285,,NULL,
حرب الخليج - ابعادها واثارها على اطفال الكويت,الجمعية الكويتية لتقدم الطفولة العربية,45,1090,NULL,31,310,,NULL,
دليل لإنشاء مكتبة للاطفال,جوليندا ابوالنصر - انيتا نصار - هلا خوري,9,1090,NULL,31,116,الاولى,NULL,
دراسة مسحية حول الاوضاع التربوية والتعليمية في فترة ما بعد التحرير في دول الكويت,د. قاسم الصراف - د. رجاء ابوعلام - د. خلدون النقيب - أ. سعاد الرفاعي,68,1090,NULL,31,255,,NULL,
الطفولة العربية والعدالة التربوية الغائبة,الجمعية الكويتية لتقدم الطفولة العربية,68,1090,NULL,31,272,,NULL,
الاطفال هذه الامانة الكبرى,الجمعية الكويتية لتقدم الطفولة العربية,68,1090,NULL,31,332,,NULL,
الطفولة في مجتمع عربي متغير,الجمعية الكويتية لتقدم الطفولة العربية,68,1090,NULL,31,221,,NULL,
الاطفال والتعصب والتربية - احتمالات الانهيار الداخلي للثقافة العربية المعاصرة,الجمعية الكويتية لتقدم الطفولة العربية,68,1090,NULL,31,261,,NULL,
الاطفال العرب ومعوقات التنشئة السوية,الجمعية الكويتية لتقدم الطفولة العربية,68,1090,NULL,31,232,,NULL,
الطفولة العربية ومعضلات المجتمع البطركي,الجمعية الكويتية لتقدم الطفولة العربية,68,1090,NULL,31,192,,NULL,
السنوات الثلاث الاولى للحياة,بيرتون ل. وايت - ترجمة د. بدر العمر,68,1090,NULL,31,170,,NULL,
